KOD_SUKL;DATOD;DATDO;POVOL_BALENI;UCEL;PRACOVISTE;DISTRIBUTOR;POZNAMKA;PREDKLADATEL;VYROBCE
0232617;28.07.2022;31.07.2024;200;Zajištění dostupnosti přípravku Vamorolone 4% pro dětské pacienty s diagnózou Duchennovy svalové dystrofie, kteří se účastnili klinického hodnocení EudraCT number: 2017-002704-27 (VBP15-004), po dokončení tohoto klinického hodnocení a kteří mají dle ošetřujících lékařů z léčby prospěch.;"Klinika dětské neurologie 2. LF UK a FN Motol, Fakultní nemocnice v Motole, V Úvalu 84, 150 06 Praha 5
Klinika dětské neurologie, FN Brno - Dětská nemocnice, Černopolní 9, 613 00 Brno";Almac Clinical Services, 9 Charlestown Road, Craigavon BT63 5PW, Spojené království (Severní Irsko);;PrimeVigilance s.r.o., Slezská 856/74, 130 00 Praha 3;Velesco Pharmaceutical Services, 29235 Lorie Lane, Wixom, MI 48393, USA
0232622;07.07.2020;30.06.2024;150;"Léčba viscerální leishmaniózy způsobené Leishmania donovani. Léčba kožní leishmaniózy způsobené Leishmania brasiliensis complex nebo Leishmania mexicana. V případě léčby viscerální leishmaniózy lze přípravek IMPAVIDO 50MG podávat již od 3 let věku resp. od tělesné hmotnosti 9 kg. V případě léčby kožní
leishmaniózy lze přípravek IMPAVIDO 50MG podávat od 12 let věku resp. od tělesné hmotnosti 30 kg.";Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství VFN v Praze).;PHOENIX, lékárenský velkoobchod s.r.o., ČR.;;Všeobecná fakultní nemocnice v Praze, Klinika pracovního lékařství, Na Bojišti 1, 128 08 Praha 2;Paesel + Lorei GmbH & Co. KG,, Rheinberg, Německo
0232623;07.07.2020;30.06.2024;450;"Léčba všech forem a stádií tuberkulózy s citlivostí na isoniazid, vždy v komninaci s jiným chemoterapeutikem účinným proti Mycobacterium tuberculosis. Přípravek ISOZID 0,5N je používán k léčbě tuberkulózy u pacientů, kteří nemohou přijímat perorální formy léčiva nebo u kterých je narušeno vstřebávání z GIT. Přípravek ISOZID 0,5N se používá k profylaxi tuberkulózy u neinfikovaných tuberkulin
negativních exponovaných osob.
Přípravek ISOZID 0,5N lze použít u dětí, dospívajících a dospělých.";Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství VFN v Praze).;PHOENIX, lékárenský velkoobchod s.r.o., ČR.;;Všeobecná fakultní nemocnice v Praze, Klinika pracovního lékařství, Na Bojišti 1, 128 08 Praha 2;Riemser Pharma GmbH, Greifswald - Insel Riems, Německo
0232624;07.07.2020;30.06.2024;150;"Léčba závažných systémových mykóz způsobených citlivými patogeny, jako jsou zejména: kandidózy, kryptokokózy, chromomykózy (chromoblastomykózy) a některé formy aspergilóz. Přípravek ANCOTIL 500MG nesmí být používán jako lék první volby u dětí nebo jako monoterapie. Přípravek ANCOTIL 500MG musí být užíván v kombinaci s dalšími vhodnými antimykotiky, pokud jiná léčiva nejsou
k dispozici nebo nebudou pravděpodobně účinná. Z důvodu prodloužené eliminace flucytosinu u dětských pacientů, zvláště u novorozenců, a předčasně narozených dětí, může vést podávání flucytosinu k překročení optimálních hladin v séru. Během léčby dětských pacientů musí být proto pravidelně kontrolován krevní obraz a renální funkce, aby byla sledována koncentrace a clearance kreatininu.";Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství VFN v Praze).;PHOENIX, lékárenský velkoobchod s.r.o., ČR.;;Všeobecná fakultní nemocnice v Praze, Klinika pracovního lékařství, Na Bojišti 1, 128 08 Praha 2;ICN Polfa Rzeszów Spolka Akcyjna, Rzeszów, Polsko
0232625;01.09.2020;31.08.2023;6000;Devitalizace zubní dřeně, v případech kdy ze zvláštních důvodů nelze provést chirurgicko-endodontický zákrok (např. vitální exstirpaci) pro pacienty bez omezení věku.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče v oboru stomatologie.;NORA a.s., Praha 1, ČR.;;NORA a.s., Praha 1 ? Malá Strana;Pharma GmbH + Co. KG, Breitwasenring 1, 72135 Dettenhausen, Německo
0232626;05.08.2020;30.06.2024;200;Zajištění léčivého přípravku s léčivou látkou artesunát pro nouzovou léčbu závažné nebo komplikované malárie způsobené Plasmodium falciparum nebo Plasmodium vivax.;Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX, lékárenský velkoobchod s.r.o., ČR.;;Všeobecná fakultní nemocnice v Praze, Klinika pracovního lékařství, Na Bojišti 1, 128 08 Praha 2;"Guilin Pharmaceutical Co., Ltd. China; Ipca Laboratories Ltd. Indie"
0232627;10.08.2020;31.07.2023;2160;"Léčivý přípravek je určen k léčbě dospělých s diagnózou středně závažných
a závažných infekcí vyvolaných kmeny mikroorganismů citlivými na ofloxacin:
- akutní, chronické nebo recidivující infekce dolních dýchacích cest (bronchitida),
- pneumonie; při komunitní pneumonii vyvolané pneumokoky není ofloxacin
lékem 1. volby,
- chronické a recidivující otorhinolaryngologické infekce; podávání ofloxacinu
se však nedoporučuje k léčbě akutní tonsilitidy,
- infekce kůže a měkkých tkání,
- infekce břišní dutiny a žlučových cest,
- genitourinární infekce (včetně kapavky),
- gynekologické infekce,
- infekce kostí a kloubů,
- sepse.
Musí se brát zřetel na oficiální doporučení ke správnému používání antibakteriálních látek.";Poskytovatelé zdravotních služeb formou lůžkové péče.;AV Medical Consulting s.r.o., ČR.;pro oba přípravky celkem;AV Medical Consulting s.r.o., Dobronická 1257, 148 00 Praha 4 - Kunratice, Česká republika;GES Genéricos Espanoles Laboratorio, S.A., Španělsko
0232628;10.08.2020;31.07.2023;2160;"Léčivý přípravek je určen k léčbě dospělých s diagnózou středně závažných
a závažných infekcí vyvolaných kmeny mikroorganismů citlivými na ofloxacin:
- akutní, chronické nebo recidivující infekce dolních dýchacích cest (bronchitida),
- pneumonie; při komunitní pneumonii vyvolané pneumokoky není ofloxacin
lékem 1. volby,
- chronické a recidivující otorhinolaryngologické infekce; podávání ofloxacinu
se však nedoporučuje k léčbě akutní tonsilitidy,
- infekce kůže a měkkých tkání,
- infekce břišní dutiny a žlučových cest,
- genitourinární infekce (včetně kapavky),
- gynekologické infekce,
- infekce kostí a kloubů,
- sepse.
Musí se brát zřetel na oficiální doporučení ke správnému používání antibakteriálních látek.";Poskytovatelé zdravotních služeb formou lůžkové péče.;AV Medical Consulting s.r.o., ČR.;pro oba přípravky celkem;AV Medical Consulting s.r.o., Dobronická 1257, 148 00 Praha 4 - Kunratice, Česká republika;Altan Pharmaceuticals , S.A., Španělsko
0232629;02.02.2021;30.06.2024;200;Léčba těhotných žen, které jsou ohroženy hypertenzí (preeklampsie a eklampsie).;Gynekologicko-porodnická pracoviště poskytovatelů zdravotních služeb;CZ Pharma s.r.o., náměstí Smiřických 42, 281 63 Kostelec nad Černými lesy;Léčivý přípravek TRANDATE KERN je možné distribuovat do 31. 5. 2021. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho doby použitelnosti.;CZ Pharma s.r.o., Náměstí Smiřických 42, Kostelec nad Černými lesy, 281 63;Kern Pharma, S. L., Venus, 72, Pol. Ind. Colom II, 08228 Terrassa, Barcelona, Španělsko
0232629;17.09.2020;01.02.2025;200;Léčba těhotných žen, které jsou ohroženy hypertenzí (preeklampsie a eklampsie).;Gynekologicko-porodnická pracoviště poskytovatelů zdravotních služeb.;CZ Pharma s. r. o., Kostelec nad Černými lesy.;Léčivý přípravek je možné distribuovat do 1. 2. 2021. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho použitelnosti.;CZ Pharma s.r.o., Náměstí Smiřických 42, Kostelec nad Černými lesy, 281 63;CENEXI, Fontenay sous Bois, Francie
0232630;04.09.2020;31.08.2024;80;"Zabezpečení léčivého přípravku pro léčbu akutních intoxikací ethylenglykolem a metanolem. Léčba akutní intoxikace ethylenglykolem je v souladu se souhrnem údajů o přípravku. Léčba akutní intoxikace metanolem není uvedena v souhrnu údajů o přípravku, ale je podložena odborným doporučením Toxikologického informačního střediska Kliniky pracovního lékařství VFN a 1. LF UK - Odborné doporučení pro intoxikaci - metanol (methanol, metylalkohol, dřevný líh, CH3OH.
Odkazy:
https://tis-cz.cz/images/stories/PDFs/akutni_otrava_metanolem-odborne_doporuceni_TIS.pdf
https://www.lkcr.cz/doc/clanky_file/jak-lecit-otravu-metanolem-99324.pdf.";Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství VFN v Praze).;PHOENIX, lékárenský velkoobchod s.r.o., ČR.;;Všeobecná fakultní nemocnice v Praze, Klinika pracovního lékařství, Na Bojišti 1, 128 08 Praha 2;Établissement Pharmaceutique de l?Assistance Publique des Hôpitaux de Paris (EP AP-HP), Francie
0232631;01.12.2021;30.11.2023;24000;Zajištění léčivého přípravku s léčivou látkou clonidini hydrochloridum v lékové formě injekčního roztoku k léčbě velmi těžkých forem vysokého krevního tlaku, kde perorální léčba není možná nebo je považována za nedostatečnou.;Poskytovatelé zdravotních služeb formou lůžkové péče.;CZ Pharma s. r. o.;;CZ Pharma s.r.o., Náměstí Smiřických 42, Kostelec nad Černými lesy, 281 63;Boehringer Ingelheim Espana S.A., Prat de la Riba, 50, 08174 Sant Cugat del Valles (Barcelona), Španělsko
0232632;21.03.2022;31.03.2024;4000;Zajištění léčivého přípravku s léčivou látkou cyklopentolát hydrochlorid pro vyšetření očního fundu a refrakční vyšetření a jakékoliv stavy, kdy je žádoucí mydriatický nebo cykloplegický účinek, nebo v případech, kdy nelze použít atropin (zánětlivé procesy uveálního traktu).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;CZ Pharma s.r.o.;;CZ Pharma s.r.o., Náměstí Smiřických 42, 281 63 Kostelec nad Černými lesy;"Siegfried El Masnou, S.A., C/Camil Fabra, 58, 08320 El Masnou Barcelona, Španělsko;
Alcon Laboratories Belgium, Lichterveld 3, 2870 Puurs-Sint-Amands, Belgie"
0232633;05.01.2023;31.08.2023;730;"Léčivý přípravek je určen k diagnostice karcinomu prostaty pomocí PET/CT a PET/MR s 68Ga značeným ligandem membránově vázaného prostatického specifického antigenu, u mužů starších 18 let. Cílem diagnostiky je:
- přesný primární staging pacientů s adenokarcinomem prostaty vysokého rizika s cílem časné identifikace metastatického postižení, ev. změna léčebného postupu na základě tohoto vyšetření;
- lokalizace nádorových ložisek u pacientů s progresí PSA po radikální léčbě adenokarcinomu prostaty, které by mohly být radikálně ošetřeny chirurgickou nebo radiační léčbou, tzv. selektivní záchranná lymfadenektomie/metastazektomie nebo stereotaktická RT (stereotactic body radiation therapy ? SBRT);
-identifikace pacientů s generalizací adenokarcinomu prostaty, kteří k radikální záchranné léčbě nejsou indikováni, nicméně mohou profitovat například z radikální RT primárního ložiska v prostatě v kombinaci s hormonální léčbou.

K individuální přípravě neregistrovaného léčivého přípravku 68Ga-PSMA-11 lze použít:
-registrovaný léčivý přípravek ? radionuklidový generátor a
-neregistrovaný léčivý přípravek ? Souprava PSMA-11 Sterile Cold Kit (obsah soupravy: sterilní lahvička PSMA-11 s 25 ?g účinné látky PSMA-11; sterilní lahvička s octanovým pufrem ? konfigurace A nebo B*; sterilní vakuová lahvička; bezjehlový přepouštěcí adaptér; stříkačka 10ml; dezinfikovatelná hadička; dezinfikovatelný aplikační trn)
(* konfigurace dle typu použitého registrovaného radionuklidového generátoru).
";Pracoviště (oddělení) nukleární medicíny poskytovatelů zdravotních služeb formou ambulantní nebo lůžkové péče s přístrojovým vybavením pro PET/CT nebo PET/MR zobrazení.;THP Medical Products Vertriebs GmbH, Shuttleworthstraße 19, A-210 Wien,Rakousko (Souprava PSMA-11 Sterile Cold Kit - konfigurace A nebo B).;Souprava PSMA-11 Sterile Cold Kit-730;Česká společnost nukleární medicíny České lékařské společnosti Jana Evangelisty Purkyně, Sokolská 490/31, Nové Město, 120 00 Praha 2;Telix Innovations S. A., Rue de Hermeé 255, B-4040 Herstal, Belgie
0232636;17.02.2023;30.04.2026;330;Zabezpečení léčivého přípravku s léčivou látkou cykloserin k léčbě aktivní plicní a mimoplicní tuberkulózy způsobené citlivými mikroorganismy, po selhání antituberkulotické terapie první volby (streptomycin, isoniazid, rifampicin, ethambutol), v kombinaci s dalšími chemoterapeutickými přípravky. V rámci léčebného programu bude rovněž v Toxikologickém informačním středisku Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze deponována pohotovostní zásoba léčivého přípravku.;"Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče. 
Balení pro pohotovostní zásobu budou deponována v Toxikologickém informačním středisku Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze, které je na vyžádání, po konzultaci o stanovení léčebného postupu, poskytne příslušnému pracovišti k použití.";ARDEZ Pharma, spol. s r.o., V Borovičkách 278, 252 26, Kosoř;;ARDEZ Pharma, spol. s r.o., V Borovičkách 278, 252 26, Kosoř;Antibiotice SA, Str. Valea Lupului nr. 1, 707410 Iaşi, Rumunsko
0232636;07.04.2021;30.04.2026;50;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu pacientů s tuberkulózou jakékoli lokalizace způsobené kmenem Mycobacterium tuberculosis rezistentním nejméně na dvě základní antituberkulotika (isoniazid, rifampicin).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;ARDEZ Pharma, spol. s r.o., Kosoř, V Borovičkách 278, okres Praha-západ;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Antibiotice SA, Str. Valea Lupului nr. 1, 707410 Iaşi, Rumunsko
0232638;11.01.2022;31.12.2023;100;Zajištění pohotovostní zásoby léčivého přípravku (antiséra) k pasivní imunizaci proti záškrtu. V rámci posouzení žádosti o specifický léčebný program nebyla předložena farmaceutická dokumentace. Ošetřující lékař musí před podáním léčivého přípravku u konkrétního pacienta zvážit poměr risk benefit.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;společnost PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10.;;Všeobecná fakultní nemocnice v Praze, U nemocnice 2, 128 08 Praha 2;Vins Bioproducts Ltd., Sy. No. 117, Thimmapur Village, Kothur Mandal, Ranga Reddy Dist., Telangana - 509325, Indie
0232640;22.10.2021;31.10.2024;67000;Zajištění léčivého přípravku s léčivou látkou sukralfát ke krátkodobé léčbě (maximálně 8 týdnů) gastroduodenální vředové choroby k podpoře hojení a úlevy od symptomů. Léčivý přípravek je určen pro dospělé a děti starší 6 let.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical CZ s.r.o.;;AV Medical CZ s.r.o., Dobronická 1257, Kunratice, 148 00 Praha 4, Česká republika;S.C. FELSIN FARM S.R.L., Str. Drumul Piscul Cerbului nr. 20-28, Etaj P, camerele 1-9 şi etaj, sector 1, Bucureşti, România
0244194;02.12.2021;30.11.2023;24000;Krátkodobá léčba nespavosti (benzodiazepiny jsou indikovány pouze v případě, že porucha je závažná, zneschopňující nebo způsobuje jedinci výraznou nepohodu). Sedace při premedikaci před chirurgickými nebo diagnostickými výkony. Přípravek je určen pro dospělé.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;společnost CZ Pharma s. r. o.;;CZ Pharma s.r.o., Náměstí Smiřických 42, Kostelec nad Černými lesy, 281 63;Recipharm Leganés S. L. U., Calle Severo Ochoa 13, Leganés, 289 14 Madrid, Španělsko
0249327;21.07.2022;31.07.2024;800;"Léčivý přípravek je indikován k vyvolání úplné miózy jak po odstranění čočky
při extrakci katarakty s neporušenou zornicí, tak při perforující keratoplastice a jiné
operaci předního segmentu, kde je žádoucí mióza, jako je cyklodialýza. Dále
je přípravek indikován k prevenci prolapsu duhovky a usnadnění umístění stehů
v rohovce.";"Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče v oboru
oftalmologie.";CZ Pharma s.r.o., ČR;;CZ Pharma s.r.o., Náměstí Smiřických 42, Kostelec nad Černými lesy, 281 63;"S. A. Alcon-Couvreur N.V., Rijksweg 14, Puurs, Belgie;
Alcon Laboratories Belgium, Lichterveld 3, B-2870 Puurs-Sint-Amands, Belgie"
0250742;30.09.2022;30.09.2024;20000;Zajištění léčivého přípravku s léčivou látkou isoprenalini hydrochloridum v lékové formě injekčního roztoku pro léčbu celkového atrioventrikulárního bloku (včetně Adamsova-Stokesova syndromu) a srdeční zástavy, léčbu bronchospasmu během anestezie a pro doplňkovou léčbu kardiogenního šoku.;Poskytovatelé zdravotních služeb formou lůžkové péče.;CZ Pharma s.r.o., Náměstí Smiřických 42, 281 63 Kostelec nad Černými lesy;Výdej léčivého přípravku je možný i za situace, kdy není možné ověřit a vyřadit jedinečný identifikátor postupem podle nařízení Komise v přenesené pravomoci (EU) 2016/161 ze dne 2. října 2015, kterým se doplňuje směrnice Evropského parlamentu a Rady 2001/83/ES, stanovením podrobných pravidel pro ochranné prvky uvedené na obalu humánních léčivých přípravků (dále jen nařízení o ochranných prvcích).;CZ Pharma s.r.o., Náměstí Smiřických 42, 281 63 Kostelec nad Černými lesy;MONICO SPA, Via Ponte di Pietra 7, 30173 Venezia/Mestre, Itálie
0254523;24.05.2021;31.05.2026;;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu kožní, mukokutánní a viscerální leishmaniózy.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;750 ampulek (platí pro oba přípravky celkem);Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Famar Health Care Services Madrid, S.A.U., Avenida Leganés, 62, 28923 Alcorcón, Madrid, Španělsko
0254524;24.05.2021;31.05.2026;;Zajištění pohotovostní zásoby léčivého přípravku pro intravenózní a inhalační léčbu pneumocystové pneumonie (původce Pneumocystis carinii) oslabených pacientů či pacientů se sníženou obranyschopností organismu, jako např. u pacientů s AIDS, a pro léčbu africké trypanozomózy (původce Trypanosoma gambiense).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;"300 lahviček
(platí pro obě velikosti balení)";Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Sanofi S.p.A. Viale Luigi Bodio, 37/B 20158 Milano, Itálie
0254525;21.05.2021;31.05.2026;;Zajištění pohotovostní zásoby léčivého přípravku (antiséra) k léčbě záškrtu.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;250 ampulek (platí celkem pro obě balení);Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství);BB?NCIPD Ltd., 26 Yanko Sakazov Blvd., 1504 Sofia, Bulharsko
0254526;21.05.2021;31.05.2026;;Zajištění pohotovostní zásoby léčivého přípravku (antiséra) k léčbě záškrtu.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;250 ampulek (platí celkem pro obě balení);Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství);BB NCIPD Ltd., 26 Yanko Sakazov Blvd., 1504 Sofia, Bulharsko
0254527;24.05.2021;31.12.2026;2000;"Zajištění léčivého přípravku s léčivou látkou penicilamin k léčbě revmatoidní artritidy; Wilsonovy choroby; otravy olovem, rtutí, mědí a zinkem; cystinurie s prokázanou tvorbou cystinových kamenů, jejíž recidivě nelze zabránit jinými postupy (strava bez methioninu, hyperhydratace, alkalizace moči); dále při pokročilých stavech výskytu cystinových kamenů se zvláštními riziky (např. po odstranění ledviny).";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;CZ Pharma s. r. o., se sídlem náměstí Smiřických 42, 281 63 Kostelec nad Černými lesy;Léčivý přípravek možné distribuovat do 31. 12. 2021. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho doby použitelnosti.;CZ Pharma s.r.o., se sídlem náměstí Smiřických 42, 281 63 Kostelec nad Černými lesy;Haupt Pharma Berlin GmbH, Moosrosenstraße 7, 12347 Berlin, Německo
0254528;29.05.2023;30.04.2024;1 945;"Zajištění léčivého přípravku s léčivou látkou acidum tiaprofenicum pro perorální léčbu dospělých a dětí s tělesnou hmotností od 15 kg (přibližně od věku 4 let) v následujících indikacích:
při dlouhodobé symptomatické léčbě:
- chronická zánětlivá revmatická onemocnění, zejména revmatoidní artritida,
- některé typy bolestivých a invalidizujících artritid;
při krátkodobé symptomatické léčbě:
- akutní záchvaty osteoartrózy, bolesti dolní části zad,
- benigní akutní poúrazové stavy pohybového aparátu;
dysmenorea po etiologickém vyšetření;
symptomatická léčba bolesti při zánětlivých projevech v otorhinolaryngologii a stomatologii; při této indikaci existují určitá rizika, zejména co se týče rozšíření současné sepse při použití nesteroidních antiflogistik (NSAID). Rizika je nutné zvážit oproti očekávanému analgetickému účinku.

";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical CZ s.r.o., Dobronická 1257, Kunratice, 148 00 Praha 4, Česká republika;;AV Medical CZ s.r.o., Dobronická 1257, Kunratice, 148 00 Praha 4, Česká republika;Laboratoires BTT, ZI de Krafft, 67150 Erstein, Francie
0254631;01.12.2022;30.11.2024;92;"Zajištění a možnost použití neregistrovaného léčivého přípravku UX007 v rámci
specifického léčebného programu pro léčbu dětského pacienta, která trpí dědičnou
poruchou ß-oxidace mastných kyselin s dlouhým řetězcem (deficit 3-hydroxyacyl-CoA
dehydrogenázy mastných kyselin s dlouhým řetězcem).";"Klinika pediatrie a dědičných poruch metabolismu 1.LF UK a Všeobecné
fakultní nemocnice, Ke Karlovu 455/2, 128 08 Praha 2";Almac Clinical Services (Ireland) Limited, Finnabair Industrial Estate, Dundalk, Co. Louth, A91P9KD, Irsko;;Všeobecná fakultní nemocnicí v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2;Ultragenyx Pharmaceutical Inc., 60 Leveroni Court, Novato, CA 94949, USA
0254631;23.07.2021;31.07.2023;144;Zajištění a možnost použití neregistrovaného léčivého přípravku UX007 v rámci specifického léčebného programu pro léčbu dětského pacienta, který trpí dědičnou poruchou ß-oxidace mastných kyselin s dlouhým řetězcem (deficit 3-hydroxyacyl-CoA dehydrogenázy mastných kyselin s dlouhým řetězcem) a má těžkou poruchu srdeční funkce.;Klinika dětského a dorostového lékařství VFN a 1.LF UK, Ke Karlovu 455/2, 128 08 Praha 2.;Almac Clinical Services (Ireland) Limited, Finnabair Industrial Estate, Dundalk, Co. Louth, A91P9KD, Irsko.;;Všeobecná fakultní nemocnice v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2, prostřednictvím Kliniky dětského a dorostového lékařství Všeobecné fakultní nemocnice v Praze, Ke Karlovu 455/2, 128 08 Praha 2;Ultragenyx Pharmaceutical Inc., 60 Leveroni Court, Novato, CA 94949, USA
0254631;02.12.2021;30.11.2023;150;"Zajištění a možnost použití neregistrovaného léčivého přípravku UX007 v rámci
specifického léčebného programu pro léčbu dětského pacienta, který trpí dědičnou
poruchou ß-oxidace mastných kyselin s dlouhým řetězcem (deficit 3-hydroxyacyl-CoA
dehydrogenázy mastných kyselin s dlouhým řetězcem).";Klinika pediatrie a dědičných poruch metabolismu 1.LF UK a Všeobecné fakultní nemocnice, Ke Karlovu 455/2, 128 08 Praha 2.;Almac Clinical Services (Ireland) Limited, Finnabair Industrial Estate, Dundalk, Co. Louth, A91P9KD, Irsko;;"Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2,
prostřednictvím Kliniky dětského a dorostového lékařství Všeobecné fakultní nemocnice v Praze, Ke Karlovu 455/2, 128 08 Praha 2";Ultragenyx Pharmaceutical Inc., 60 Leveroni Court, Novato, CA 94949, USA
0254631;06.09.2022;31.08.2024;160;Zajištění a možnost použití neregistrovaného léčivého přípravku UX007 v rámci specifického léčebného programu pro léčbu dětské pacientky, která trpí dědičnou poruchou ß-oxidace mastných kyselin s dlouhým řetězcem (deficit 3-hydroxyacyl-CoA dehydrogenázy mastných kyselin s dlouhým řetězcem);Klinika pediatrie a dědičných poruch metabolismu 1.LF UK a Všeobecné fakultní nemocnice, Ke Karlovu 455/2, 128 08 Praha 2;Almac Clinical Services (Ireland) Limited, Finnabair Industrial Estate, Dundalk, Co. Louth, A91P9KD, Irsko;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Kliniky pediatrie a dědičných poruch metabolismu 1. LF UK a Všeobecné fakultní nemocnice, Ke Karlovu 455/2, 128 08 Praha 2;Ultragenyx Pharmaceutical Inc., 60 Leveroni Court, Novato, CA 94949, USA
0254632;26.07.2021;31.07.2023;15000;Léčba análních fisur a proktalgie obecně spojené s hypertonií análního svěrače.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;ARDEZ Pharma, spol. s r.o., se sídlem Kosoř, V Borovičkách 278, okres Praha - západ, PSČ 252 26.;;"Ardez Pharma, spol. s r.o.; V Borovičkách 278, 252 26 Kosoř, Česká republika";New. Fa. Dem. S.r.l., Viale Ferrovie dello Stato ? Zona Ind. ASI, Giugliano in Campania, Itálie
0259481;30.03.2022;31.03.2024;3000;Zabezpečení léčivého přípravku pro radiodiagnostiku malabsorpce žlučových kyselin a měření ztráty žlučových kyselin, dále při hodnocení funkce ilea, při vyšetření zánětlivého onemocnění střev a chronickém průjmu a při studiu enterohepatického oběhu. Vzhledem k tomu, že nejsou žádné klinické zkušenosti s užíváním tohoto léčivého přípravku u dětí, musí ošetřující lékař pečlivě zvážit indikaci tohoto léčivého přípravku u dětí (tj. posoudit poměr rizika a přínosu před jakoukoliv aplikací přípravku u dětí, zejména proto, že aplikace fixní dávky způsobuje zvýšení efektivní dávky u dětí).;Kliniky (oddělení) nukleární medicíny poskytovatelů zdravotních služeb formou ambulantní a lůžkové péče s přístrojovým vybavením pro scintigrafické zobrazování.;M.G.P. spol. s r.o., Kvítková 1575, 760 01 Zlín;;M.G.P. spol. s r.o., Kvítková 1575, 760 01 Zlín;GE Healthcare Buchler GmbH & Co. KG, Gieselweg 1, D-38110 Braunschweig, Německo
