ATC;NT;NAZEV;NAZEV_EN
J07BH02;N;ROTAVIRUS, PENTAVALENTNÍ VAKCÍNA, ŽIVÝ, PŘETŘÍDĚNÝ VIRUS;ROTA VIRUS, PENTAVALENT, LIVE, REASSORTED
J07BJ;N;VAKCÍNY PROTI ZARDĚNKÁM;RUBELLA VACCINES
J07BJ01;N;ZARDĚNKY, ŽIVÝ ATENUOVANÝ VIRUS;RUBELLA, LIVE ATTENUATED
J07BJ51;N;ZARDĚNKY, KOMBINACE S PŘÍUŠNICEMI, ŽIVÁ ATENUOVANÁ VAKCÍNA;RUBELLA, COMBINATIONS WITH MUMPS, LIVE ATTENUATED
J07BK;N;VAKCÍNY PROTI INFEKCÍM VYVOLANÝM VIREM VARICELLA-ZOSTER;VARICELLA ZOSTER VACCINES
J07BK01;N;PLANÉ NEŠTOVICE, ŽIVÝ ATENUOVANÝ VIRUS;VARICELLA, LIVE ATTENUATED
J07BK02;N;ZOSTER, ŽIVÝ ATENUOVANÝ VIRUS;ZOSTER, LIVE ATTENUATED
J07BK03;N;ZOSTER, PURIFIKOVANÝ ANTIGEN;ZOSTER, PURIFIED ANTIGEN
J07BL;N;VAKCÍNA PROTI ŽLUTÉ ZIMNICI;YELLOW FEVER VACCINES
J07BL01;N;ŽLUTÁ ZIMNICE, ŽIVÝ ATENUOVANÝ VIRUS;YELLOW FEVER, LIVE ATTENUATED
J07BM;N;VAKCÍNY PROTI PAPILOMAVIRU;PAPILLOMAVIRUS VACCINES
J07BM01;N;PAPILOMAVIRUS LIDSKÝ (TYP 6, 11, 16, 18);PAPILLOMAVIRUS (HUMAN TYPES 6, 11, 16, 18)
J07BM02;N;PAPILOMAVIRUS LIDSKÝ (TYP 16, 18);PAPILLOMAVIRUS (HUMAN TYPES 16, 18)
J07BM03;N;PROTEIN LIDSKÉHO PAPILLOMAVIRU TYPU 6, 11, 16, 18, 31, 33, 45, 52, 58);PAPILLOMAVIRUS (HUMAN TYPES 6, 11, 16, 18, 31, 33, 45, 52, 58)
J07BN;N;VAKCÍNY PROTI COVID-19;COVID-19 VACCINES
J07BN01;N;COVID-19, RNA VAKCÍNA;COVID-19, RNA-BASED VACCINE
J07BN02;N;COVID-19, NEREPLIKUJÍCÍ SE VIROVÝ VEKTOR;COVID-19, VIRAL VECTOR, NON-REPLICATING
J07BN03;N;COVID-19, INAKTIVOVANÝ VIRUS;COVID-19, INACTIVATED VIRUS
J07BN04;N;COVID-19, PROTEINOVÁ PODJEDNOTKA;COVID-19, PROTEIN SUBUNIT
J07BX;N;JINÉ VIROVÉ VAKCÍNY;OTHER VIRAL VACCINES
J07BX01;N;VAKCÍNY PROTI PRAVÝM NEŠTOVICÍM;SMALLPOX VACCINES
J07BX02;N;VAKCÍNY PROTI EBOLE;EBOLA VACCINES
J07BX04;N;VAKCÍNY PROTI INFEKCÍM VYVOLANÝM VIREM DENGUE;DENGUE VIRUS VACCINES
J07C;N;BAKTERIÁLNÍ A VIROVÉ VAKCÍNY, KOMBINOVANÉ;BACTERIAL AND VIRAL VACCINES, COMBINED
J07CA;N;BAKTERIÁLNÍ A VIROVÉ VAKCÍNY, KOMBINOVANÉ;BACTERIAL AND VIRAL VACCINES, COMBINED
J07CA01;N;DIFTERIE-POLIOMYELITIDA-TETANUS;DIPHTHERIA-POLIOMYELITIS-TETANUS
J07CA02;N;DIFTERIE-PERTUSE-POLIOMYELITIDA-TETANUS;DIPHTHERIA-PERTUSSIS-POLIOMYELITIS-TETANUS
J07CA03;N;DIFTERIE-RUBEOLA-TETANUS;DIPHTHERIA-RUBELLA-TETANUS
J07CA04;N;HAEMOPHILUS INFLUENZAE B-POLIOMYELITIDA;HAEMOPHILUS INFLUENZAE B AND POLIOMYELITIS
J07CA05;N;DIFTERIE-HEPATITIDA B-PERTUSE-TETANUS;DIPHTHERIA-HEPATITIS B-PERTUSSIS-TETANUS
J07CA06;N;DIFTERIE-HAEMOPHILUS INFLUENZAE B-PERTUSE-POLIOMYELITIDA-TETANUS;DIPHTHERIA-HAEMOPHILUS INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS
J07CA07;N;DIFTERIE-HEPATITIDA B-TETANUS;DIPHTHERIA-HEPATITIS B-TETANUS
J07CA08;N;HAEMOPHILUS INFLUENZAE B-HEPATITIDA B;HAEMOPHILUS INFLUENZAE B AND HEPATITIS B
J07CA09;N;DIFTERIE-HAEMOPHILUS INFLUENZAE B-PERTUSE-POLIOMYELIDA-TETANUS-HEPATITIDA B;DIPHTHERIA-HAEMOPHILUS INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS-HEPATITIS B
J07CA10;N;BŘIŠNÍ TYFUS-HEPATITIDA A;TYPHOID-HEPATITIS A
J07CA11;N;DIFTERIE-HAEMOPHILUS INFLUENZAE B-PERTUSE-TETANUS-HEPATITIDA B;DIPHTHERIA-HAEMOPHILUS INFLUENZAE B-PERTUSSIS-TETANUS-HEPATITIS B
J07CA12;N;DIFTERIE-PERTUSE-POLIOMYELITIDA-TETANUS-HEPATITIDA B;DIPHTHERIA-PERTUSSIS-POLIOMYELITIS-TETANUS-HEPATITIS B
J07CA13;N;DIFTERIE-HAEMOPHULUS INFLUENZAE B-PERTUSE-TETANUS-HEPATITIDA B-MENINGOCOCCUS A+C;DIPHTHERIA-HAEMOPHILUS INFLUENZAE B-PERTUSSIS-TETANUS-HEPATITIS B-MENINGOCOCCUS A + C
J07X;N;JINÉ VAKCÍNY;OTHER VACCINES
J07XA;N;PARAZITÁRNÍ VAKCÍNY;PARASITIC VACCINES
J07XA01;N;VAKCÍNY PROTI MALÁRII;MALARIA VACCINES
L;N;CYTOSTATIKA A IMUNOMODULAČNÍ LÉČIVA;ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01;N;CYTOSTATIKA;ANTINEOPLASTIC AGENTS
L01A;N;ALKYLAČNÍ LÁTKY;ALKYLATING AGENTS
L01AA;N;ANALOGA DUSÍKATÉHO YPERITU;NITROGEN MUSTARD ANALOGUES
L01AA01;N;CYKLOFOSFAMID;CYCLOPHOSPHAMIDE
L01AA02;N;CHLORAMBUCIL;CHLORAMBUCIL
L01AA03;N;MELFALAN;MELPHALAN
L01AA05;N;CHLORMETHIN;CHLORMETHINE
L01AA06;N;IFOSFAMID;IFOSFAMIDE
L01AA07;N;TROFOSFAMID;TROFOSFAMIDE
L01AA08;N;PREDNIMUSTIN;PREDNIMUSTINE
L01AA09;N;BENDAMUSTIN;BENDAMUSTINE
L01AA10;N;MELFALAN-FLUFENAMID;MELPHALAN FLUFENAMIDE
L01AB;N;ALKYLSULFONÁTY;ALKYL SULFONATES
L01AB01;N;BUSULFAN;BUSULFAN
L01AB02;N;TREOSULFAN;TREOSULFAN
L01AB03;N;MANNOSULFAN;MANNOSULFAN
L01AC;N;ETHYLENIMINY;ETHYLENE IMINES
L01AC01;N;THIOTEPA;THIOTEPA
L01AC02;N;TRIAZICHON;TRIAZIQUONE
L01AC03;N;KARBOCHON;CARBOQUONE
L01AD;N;DERIVÁTY NITROSOMOČOVINY;NITROSOUREAS
L01AD01;N;KARMUSTIN;CARMUSTINE
L01AD02;N;LOMUSTIN;LOMUSTINE
L01AD03;N;SEMUSTIN;SEMUSTINE
L01AD04;N;STREPTOZOCIN;STREPTOZOCIN
L01AD05;N;FOTEMUSTIN;FOTEMUSTINE
L01AD06;N;NIMUSTIN;NIMUSTINE
L01AD07;N;RANIMUSTIN;RANIMUSTINE
L01AD08;N;URAMUSTIN;URAMUSTINE
L01AG;N;EPOXIDY;EPOXIDES
L01AG01;N;ETOGLUCID;ETOGLUCID
L01AX;N;JINÉ ALKYLAČNÍ LÁTKY;OTHER ALKYLATING AGENTS
L01AX01;N;MITOBRONITOL;MITOBRONITOL
L01AX02;N;PIPOBROMAN;PIPOBROMAN
L01AX03;N;TEMOZOLOMID;TEMOZOLOMIDE
L01AX04;N;DAKARBAZIN;DACARBAZINE
L01B;N;ANTIMETABOLITY;ANTIMETABOLITES
L01BA;N;ANALOGA KYSELINY LISTOVÉ;FOLIC ACID ANALOGUES
L01BA01;N;METHOTREXÁT;METHOTREXATE
L01BA03;N;RALTITREXED;RALTITREXED
L01BA04;N;PEMETREXED;PEMETREXED
L01BA05;N;PRALATREXAT;PRALATREXATE
L01BB;N;ANALOGA PURINU;PURINE ANALOGUES
L01BB02;N;MERKAPTOPURIN;MERCAPTOPURINE
L01BB03;N;THIOGUANIN;TIOGUANINE
L01BB04;N;KLADRIBIN;CLADRIBINE
L01BB05;N;FLUDARABIN;FLUDARABINE
L01BB06;N;KLOFARABIN;CLOFARABINE
L01BB07;N;NELARABIN;NELARABINE
L01BC;N;ANALOGA PYRIMIDINU;PYRIMIDINE ANALOGUES
L01BC01;N;CYTARABIN;CYTARABINE
L01BC02;N;FLUORURACIL;FLUOROURACIL
L01BC03;N;TEGAFUR;TEGAFUR
L01BC04;N;KARMOFUR;CARMOFUR
L01BC05;N;GEMCITABIN;GEMCITABINE
L01BC06;N;KAPECITABIN;CAPECITABINE
L01BC07;N;AZACITIDIN;AZACITIDINE
L01BC08;N;DECITABIN;DECITABINE
L01BC09;N;FLOXURIDIN;FLOXURIDINE
L01BC52;N;FLUORURACIL, KOMBINACE;FLUOROURACIL, COMBINATIONS
L01BC53;N;TEGAFUR, KOMBINACE;TEGAFUR, COMBINATIONS
L01BC59;N;TRIFLURIDIN, KOMBINACE;TRIFLURIDINE, COMBINATIONS
L01C;N;ROSTLINNÉ ALKALOIDY A JINÁ PŘÍRODNÍ LÉČIVA;PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
L01CA;N;VINKA ALKALOIDY A ANALOGA;VINCA ALKALOIDS AND ANALOGUES
L01CA01;N;VINBLASTIN;VINBLASTINE
L01CA02;N;VINKRISTIN;VINCRISTINE
L01CA03;N;VINDESIN;VINDESINE
L01CA04;N;VINORELBIN;VINORELBINE
L01CA05;N;VINFLUNIN;VINFLUNINE
L01CA06;N;VINTAFOLID;VINTAFOLIDE
L01CB;N;DERIVÁTY PODOFYLOTOXINU;PODOPHYLLOTOXIN DERIVATIVES
L01CB01;N;ETOPOSID;ETOPOSIDE
L01CB02;N;TENIPOSID;TENIPOSIDE
L01CC;N;DERIVÁTY KOLCHICINU;COLCHICINE DERIVATIVES
L01CC01;N;DEMEKOLCIN;DEMECOLCINE
L01CD;N;TAXANY;TAXANES
L01CD01;N;PAKLITAXEL;PACLITAXEL
L01CD02;N;DOCETAXEL;DOCETAXEL
L01CD03;N;PAKLITAXEL-POLIGLUMEX;PACLITAXEL POLIGLUMEX
L01CD04;N;KABAZITAXEL;CABAZITAXEL
L01CD51;N;PAKLITAXEL A ENCEKVIDAR;PACLITAXEL AND ENCEQUIDAR
L01CE;N;INHIBITORY TOPOIZOMERÁZY I (TOP I);TOPOISOMERASE 1 (TOP1) INHIBITORS
L01CE01;N;TOPOTEKAN;TOPOTECAN
L01CE02;N;IRINOTEKAN;IRINOTECAN
L01CE03;N;ETIRINOTEKAN PEGOL;ETIRINOTECAN PEGOL
L01CE04;N;BELOTEKAN;BELOTECAN
L01CX;N;JINÉ ROSTLINNÉ ALKALOIDY A PŘÍRODNÍ LÉČIVA;OTHER PLANT ALKALOIDS AND NATURAL PRODUCTS
L01CX01;N;TRABEKTEDIN;TRABECTEDIN
L01D;N;CYTOTOXICKÁ ANTIBIOTIKA A PŘÍBUZNÉ LÁTKY;CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01DA;N;AKTINOMYCINY;ACTINOMYCINES
L01DA01;N;DAKTINOMYCIN;DACTINOMYCIN
L01DB;N;ANTRACYKLINY A PŘÍBUZNÉ LÁTKY;ANTHRACYCLINES AND RELATED SUBSTANCES
L01DB01;N;DOXORUBICIN;DOXORUBICIN
L01DB02;N;DAUNORUBICIN;DAUNORUBICIN
L01DB03;N;EPIRUBICIN;EPIRUBICIN
L01DB04;N;AKLARUBICIN;ACLARUBICIN
L01DB05;N;ZORUBICIN;ZORUBICIN
L01DB06;N;IDARUBICIN;IDARUBICIN
L01DB07;N;MITOXANTRON;MITOXANTRONE
L01DB08;N;PIRARUBICIN;PIRARUBICIN
L01DB09;N;VALRUBICIN;VALRUBICIN
L01DB10;N;AMRUBICIN;AMRUBICIN
L01DB11;N;PIXANTRON;PIXANTRONE
L01DC;N;JINÁ CYTOTOXICKÁ ANTIBIOTIKA;OTHER CYTOTOXIC ANTIBIOTICS
L01DC01;N;BLEOMYCIN;BLEOMYCIN
L01DC02;N;PLIKAMYCIN;PLICAMYCIN
L01DC03;N;MITOMYCIN;MITOMYCIN
L01DC04;N;IXABEPILON;IXABEPILONE
L01E;N;INHIBITORY PROTEINKINÁZ;PROTEIN KINASE INHIBITORS
L01EA;N;TYROSINKINÁZOVÉ INHIBITORY BCR-ABL;BCR-ABL TYROSINE KINASE INHIBITORS
L01EA01;N;IMATINIB;IMATINIB
L01EA02;N;DASATINIB;DASATINIB
L01EA03;N;NILOTINIB;NILOTINIB
L01EA04;N;BOSUTINIB;BOSUTINIB
L01EA05;N;PONATINIB;PONATINIB
L01EA06;N;ASCIMINIB;ASCIMINIB
L01EB;N;TYROSINKINÁZOVÉ INHIBITORY RECEPTORU PRO EPIDERMÁLNÍ RŮSTOVÝ FAKTOR (EGFR);EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) TYROSINE KINASE INHIBITORS
L01EB01;N;GEFITINIB;GEFITINIB
L01EB02;N;ERLOTINIB;ERLOTINIB
L01EB03;N;AFATINIB;AFATINIB
L01EB04;N;OSIMERTINIB;OSIMERTINIB
L01EB05;N;ROCILETINIB;ROCILETINIB
L01EB06;N;OLMUTINIB;OLMUTINIB
L01EB07;N;DAKOMITINIB;DACOMITINIB
L01EB08;N;IKOTINIB;ICOTINIB
L01EB09;N;LAZERTINIB;LAZERTINIB
L01EB10;N;MOBOCERTINIB;MOBOCERTINIB
L01EB11;N;AUMOLERTINIB;AUMOLERTINIB
L01EC;N;INHIBITORY B-RAF SERIN-THREONINOVÉ KINÁZY (BRAF);B-RAF SERINE-THREONINE KINASE (BRAF) INHIBITORS
L01EC01;N;VEMURAFENIB;VEMURAFENIB
L01EC02;N;DABRAFENIB;DABRAFENIB
L01EC03;N;ENKORAFENIB;ENCORAFENIB
L01ED;N;INHIBITORY KINÁZY ANAPLASTICKÉHO LYMFOMU (ALK);ANAPLASTIC LYMPHOMA KINASE (ALK) INHIBITORS
L01ED01;N;KRIZOTINIB;CRIZOTINIB
L01ED02;N;CERITINIB;CERITINIB
L01ED03;N;ALEKTINIB;ALECTINIB
L01ED04;N;BRIGATINIB;BRIGATINIB
L01ED05;N;LORLATINIB;LORLATINIB
L01EE;N;INHIBITORY MITOGENEM AKTIVOVANÉ PROTEINKINÁZY (MEK);MITOGEN-ACTIVATED PROTEIN KINASE (MEK) INHIBITORS
L01EE01;N;TRAMETINIB;TRAMETINIB
L01EE02;N;KOBIMETINIB;COBIMETINIB
L01EE03;N;BINIMETINIB;BINIMETINIB
L01EE04;N;SELUMETINIB;SELUMETINIB
L01EF;N;INHIBITORY CYKLIN-DEPENDENTNÍ KINÁZY (CDK);CYCLIN-DEPENDENT KINASE (CDK) INHIBITORS
L01EF01;N;PALBOCIKLIB;PALBOCICLIB
L01EF02;N;RIBOCIKLIB;RIBOCICLIB
L01EF03;N;ABEMACIKLIB;ABEMACICLIB
L01EG;N;INHIBITORY MTOR (MAMMALIAN TARGET OF RAPAMYCIN) KINÁZY;MAMMALIAN TARGET OF RAPAMYCIN (MTOR) KINASE INHIBITORS
L01EG01;N;TEMSIROLIMUS;TEMSIROLIMUS
L01EG02;N;EVEROLIMUS;EVEROLIMUS
L01EG03;N;RIDAFOROLIMUS;RIDAFOROLIMUS
L01EG04;N;SIROLIMUS;SIROLIMUS
L01EH;N;TYROSINKINÁZOVÉ INHIBITORY RECEPTORU 2 PRO EPIDERMÁLNÍ RŮSTOVÝ FAKTOR (HER2);HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2) TYROSINE KINASE INHIBITORS
L01EH01;N;LAPATINIB;LAPATINIB
L01EH02;N;NERATINIB;NERATINIB
L01EH03;N;TUKATINIB;TUCATINIB
L01EJ;N;INHIBITORY JANUS KINÁZ (JAK);JANUS-ASSOCIATED KINASE (JAK) INHIBITORS
L01EJ01;N;RUXOLITINIB;RUXOLITINIB
L01EJ02;N;FEDRATINIB;FEDRATINIB
L01EJ03;N;PACRITINIB;PACRITINIB
L01EK;N;TYROSINKINÁZOVÉ INHIBITORY RECEPTORU PRO VASKULÁRNÍ ENDOTELIÁLNÍ RŮSTOVÝ FAKTOR (VEGFR);VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR (VEGFR) TYROSINE KINASE INHIBITORS
L01EK01;N;AXITINIB;AXITINIB
L01EK02;N;CEDIRANIB;CEDIRANIB
L01EK03;N;TIVOZANIB;TIVOZANIB
L01EL;N;INHIBITORY BRUTONOVY TYROSINKINÁZY (BTK);BRUTON'S TYROSINE KINASE (BTK) INHIBITORS
L01EL01;N;IBRUTINIB;IBRUTINIB
L01EL02;N;AKALABRUTINIB;ACALABRUTINIB
L01EL03;N;ZANUBRUTINIB;ZANUBRUTINIB
L01EM;N;INHIBITORY FOSFATIDYLINOSITOL-3-KINÁZY (PI3K);PHOSPHATIDYLINOSITOL-3-KINASE (PI3K) INHIBITORS
L01EM01;N;IDELALISIB;IDELALISIB
L01EM02;N;KOPANLISIB;COPANLISIB
L01EM03;N;ALPELISIB;ALPELISIB
L01EM04;N;DUVELISIB;DUVELISIB
L01EM05;N;PARSAKLISIB;PARSACLISIB
L01EN;N;INHIBITORY TYROSINKINÁZY RECEPTORU PRO FIBROBLASTOVÝ RŮSTOVÝ FAKTOR (FGFR);FIBROBLAST GROWTH FACTOR RECEPTOR (FGFR) TYROSINE KINASE INHIBITORS
L01EN01;N;ERDAFITINIB;ERDAFITINIB
L01EN02;N;PEMIGATINIB;PEMIGATINIB
L01EN03;N;INFIGRATINIB;INFIGRATINIB
L01EN04;N;FUTIBATINIB;FUTIBATINIB
L01EX;N;JINÉ INHIBITORY PROTEINKINÁZ;OTHER PROTEIN KINASE INHIBITORS
L01EX01;N;SUNITINIB;SUNITINIB
L01EX02;N;SORAFENIB;SORAFENIB
L01EX03;N;PAZOPANIB;PAZOPANIB
L01EX04;N;VANDETANIB;VANDETANIB
L01EX05;N;REGORAFENIB;REGORAFENIB
L01EX06;N;MASITINIB;MASITINIB
L01EX07;N;KABOZANTINIB;CABOZANTINIB
L01EX08;N;LENVATINIB;LENVATINIB
L01EX09;N;NINTEDANIB;NINTEDANIB
L01EX10;N;MIDOSTAURIN;MIDOSTAURIN
L01EX11;N;CHIZARTINIB;QUIZARTINIB
L01EX12;N;LAROTREKTINIB;LAROTRECTINIB
L01EX13;N;GILTERITINIB;GILTERITINIB
L01EX14;N;ENTREKTINIB;ENTRECTINIB
L01EX15;N;PEXIDARTINIB;PEXIDARTINIB
L01EX17;N;KAPMATINIB;CAPMATINIB
L01EX18;N;AVAPRITINIB;AVAPRITINIB
L01EX19;N;RIPRETINIB;RIPRETINIB
L01EX21;N;TEPOTINIB;TEPOTINIB
L01EX22;N;SELPERKATINIB;SELPERCATINIB
L01EX23;N;PRALSETINIB;PRALSETINIB
L01EX24;N;SURUFATINIB;SURUFATINIB
L01EX25;N;UMBRALISIB;UMBRALISIB
L01F;N;MONOKLONÁLNÍ PROTILÁTKY A KONJUGÁTY PROTILÁTKA - LÉČIVO;MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES
L01FA;N;INHIBITORY CD20 (KLASTR DIFERENCIAČNÍHO ANTIGENU 20);CD20 (CLUSTERS OF DIFFERENTIATION 20) INHIBITORS
L01FA01;N;RITUXIMAB;RITUXIMAB
L01FA02;N;OFATUMUMAB;OFATUMUMAB
L01FA03;N;OBINUTUZUMAB;OBINUTUZUMAB
L01FB;N;INHIBITORY CD22 (KLASTR DIFERENCIAČNÍHO ANTIGENU 22);CD22 (CLUSTERS OF DIFFERENTIATION 22) INHIBITORS
L01FB01;N;INOTUZUMAB OZOGAMICIN;INOTUZUMAB OZOGAMICIN
L01FB02;N;MOXETUMOMAB PASUDOTOX;MOXETUMOMAB PASUDOTOX
L01FC;N;INHIBITORY CD38 (KLASTR DIFERENCIAČNÍHO ANTIGENU 38);CD38 (CLUSTERS OF DIFFERENTIATION 38) INHIBITORS
L01FC01;N;DARATUMUMAB;DARATUMUMAB
L01FC02;N;IZATUXIMAB;ISATUXIMAB
L01FD;N;INHIBITORY HER2 (RECEPTOR 2 PRO LIDSKÝ EPIDERMÁLNÍ RŮSTOVÝ FAKTOR);HER2 (HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2) INHIBITORS
L01FD01;N;TRASTUZUMAB;TRASTUZUMAB
L01FD02;N;PERTUZUMAB;PERTUZUMAB
L01FD03;N;TRASTUZUMAB EMTANSIN;TRASTUZUMAB EMTANSINE
L01FD04;N;TRASTUZUMAB DERUXTEKAN;TRASTUZUMAB DERUXTECAN
L01FD05;N;TRASTUZUMAB DUOKARMAZIN;TRASTUZUMAB DUOCARMAZINE
L01FD06;N;MARGETUXIMAB;MARGETUXIMAB
L01FE;N;INHIBITORY EGFR (RECEPTOR PRO EPIDERMÁLNÍ RŮSTOVÝ FAKTOR);EGFR (EPIDERMAL GROWTH FACTOR RECEPTOR) INHIBITORS
L01FE01;N;CETUXIMAB;CETUXIMAB
L01FE02;N;PANITUMUMAB;PANITUMUMAB
L01FE03;N;NECITUMUMAB;NECITUMUMAB
L01FF;N;INHIBITORY PD-1/PDL-1 (PROTEIN 1 PROGRAMOVANÉ BUNĚČNÉ SMRTI / LIGAND PROTEINU 1);PD-1/PDL-1 (PROGRAMMED CELL DEATH PROTEIN 1/DEATH LIGAND 1) INHIBITORS
L01FF01;N;NIVOLUMAB;NIVOLUMAB
L01FF02;N;PEMBROLIZUMAB;PEMBROLIZUMAB
L01FF03;N;DURVALUMAB;DURVALUMAB
L01FF04;N;AVELUMAB;AVELUMAB
L01FF05;N;ATEZOLIZUMAB;ATEZOLIZUMAB
L01FF06;N;CEMIPLIMAB;CEMIPLIMAB
L01FF07;N;DOSTARLIMAB;DOSTARLIMAB
L01FF08;N;PROLGOLIMAB;PROLGOLIMAB
L01FF09;N;TISLELIZUMAB;TISLELIZUMAB
L01FF10;N;RETIFANLIMAB;RETIFANLIMAB
L01FG;N;INHIBITORY VEGF/VEGFR (VASKULÁRNÍ ENDOTELIÁLNÍ RŮSTOVÝ FAKTOR);VEGF/VEGFR (VASCULAR ENDOTHELIAL GROWTH FACTOR) INHIBITORS
L01FG01;N;BEVACIZUMAB;BEVACIZUMAB
L01FG02;N;RAMUCIRUMAB;RAMUCIRUMAB
L01FX;N;JINÉ MONOKLONÁLNÍ PROTILÁTKY A KONJUGÁTY PROTILÁTKA - LÉČIVO;OTHER MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES
L01FX01;N;EDREKOLOMAB;EDRECOLOMAB
L01FX02;N;GEMTUZUMAB OZOGAMICIN;GEMTUZUMAB OZOGAMICIN
L01FX03;N;KATUMAXOMAB;CATUMAXOMAB
L01FX04;N;IPILIMUMAB;IPILIMUMAB
L01FX05;N;BRENTUXIMAB VEDOTIN;BRENTUXIMAB VEDOTIN
L01FX06;N;DINUTUXIMAB BETA;DINUTUXIMAB BETA
L01FX07;N;BLINATUMOMAB;BLINATUMOMAB
L01FX08;N;ELOTUZUMAB;ELOTUZUMAB
L01FX09;N;MOGAMULIZUMAB;MOGAMULIZUMAB
L01FX10;N;OLARATUMAB;OLARATUMAB
L01FX11;N;BERMEKIMAB;BERMEKIMAB
L01FX12;N;TAFASITAMAB;TAFASITAMAB
L01FX13;N;ENFORTUMAB VEDOTIN;ENFORTUMAB VEDOTIN
L01FX14;N;POLATUZUMAB VEDOTIN;POLATUZUMAB VEDOTIN
L01FX15;N;BELANTAMAB MAFODOTIN;BELANTAMAB MAFODOTIN
L01FX16;N;OPORTUZUMAB MONATOX;OPORTUZUMAB MONATOX
L01FX17;N;SACITUZUMAB GOVITEKAN;SACITUZUMAB GOVITECAN
L01FX18;N;AMIVANTAMAB;AMIVANTAMAB
L01FX19;N;SABATOLIMAB;SABATOLIMAB
L01FX20;N;TREMELIMUMAB;TREMELIMUMAB
L01FX21;N;NAXITAMAB;NAXITAMAB
L01FX22;N;LONKASTUXIMAB TESIRIN;LONCASTUXIMAB TESIRINE
L01FX23;N;TIZOTUMAB VEDOTIN;TISOTUMAB VEDOTIN
L01X;N;JINÁ CYTOSTATIKA;OTHER ANTINEOPLASTIC AGENTS
L01XA;N;PLATINOVÁ CYTOSTATIKA;PLATINUM COMPOUNDS
L01XA01;N;CISPLATINA;CISPLATIN
L01XA02;N;KARBOPLATINA;CARBOPLATIN
L01XA03;N;OXALIPLATINA;OXALIPLATIN
L01XA04;N;SATRAPLATINA;SATRAPLATIN
L01XA05;N;POLYPLATILEN;POLYPLATILLEN
L01XB;N;METHYLHYDRAZINY;METHYLHYDRAZINES
L01XB01;N;PROKARBAZIN;PROCARBAZINE
L01XD;N;SENZITIZÉRY POUŽÍVANÉ PŘI FOTODYNAMICKÉ TERAPII/RADIOTERAPII;SENSITIZERS USED IN PHOTODYNAMIC/RADIATION THERAPY
L01XD01;N;SODNÁ SŮL PORFIMERU;PORFIMER SODIUM
L01XD03;N;METHYL-AMINOLEVULÁT;METHYL AMINOLEVULINATE
L01XD04;N;KYSELINA AMINOLEVULOVÁ;AMINOLEVULINIC ACID
L01XD05;N;TEMOPORFIN;TEMOPORFIN
L01XD06;N;EFAPROXIRAL;EFAPROXIRAL
L01XD07;N;PADELIPORFIN;PADELIPORFIN
L01XF;N;RETINOIDY PRO ONKOLOGICKOU LÉČBU;RETINOIDS FOR CANCER TREATMENT
L01XF01;N;TRETINOIN;TRETINOIN
L01XF02;N;ALITRETINOIN;ALITRETINOIN
L01XF03;N;BEXAROTEN;BEXAROTENE
L01XG;N;INHIBITORY PROTEAZOMU;PROTEASOME INHIBITORS
L01XG01;N;BORTEZOMIB;BORTEZOMIB
L01XG02;N;KARFILZOMIB;CARFILZOMIB
L01XG03;N;IXAZOMIB;IXAZOMIB
L01XH;N;INHIBITORY HISTONDEACETYLÁZY  (HDAC);HISTONE DEACETYLASE (HDAC) INHIBITORS
L01XH01;N;VORINOSTAT;VORINOSTAT
L01XH02;N;ROMIDEPSIN;ROMIDEPSIN
L01XH03;N;PANOBINOSTAT;PANOBINOSTAT
L01XH04;N;BELINOSTAT;BELINOSTAT
L01XH05;N;ENTINOSTAT;ENTINOSTAT
L01XJ;N;INHIBITORY SIGNÁLNÍ DRÁHY HEDGEHOG;HEDGEHOG PATHWAY INHIBITORS
L01XJ01;N;VISMODEGIB;VISMODEGIB
L01XJ02;N;SONIDEGIB;SONIDEGIB
L01XJ03;N;GLASDEGIB;GLASDEGIB
L01XK;N;INHIBITORY POLY (ADP-RIBÓZO) POLYMERÁZY (PARP);POLY (ADP-RIBOSE) POLYMERASE (PARP) INHIBITORS
L01XK01;N;OLAPARIB;OLAPARIB
L01XK02;N;NIRAPARIB;NIRAPARIB
L01XK03;N;RUKAPARIB;RUCAPARIB
L01XK04;N;TALAZOPARIB;TALAZOPARIB
L01XK05;N;VELIPARIB;VELIPARIB
L01XK06;N;PAMIPARIB;PAMIPARIB
L01XL;N;CYTOSTATICKÁ BUNĚČNÁ A GENOVÁ TERAPIE;ANTINEOPLASTIC CELL AND GENE THERAPY
L01XL01;N;SITIMAGEN CERADENOVEK;SITIMAGENE CERADENOVEC
L01XL02;N;TALIMOGEN LAHERPAREPVEK;TALIMOGENE LAHERPAREPVEC
